
>>> [MEM] 2026-07-07T09:58:08.550306+00:00 {"host_mem_used_gb": 5.84, "swap_used_gb": 0.0, "cpu_user_pct": 0, "cpu_system_pct": 0, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [MEM] 2026-07-07T09:58:09.551263+00:00 {"host_mem_used_gb": 5.84, "swap_used_gb": 0.0, "cpu_user_pct": 0.5, "cpu_system_pct": 0.67, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [MEM] 2026-07-07T09:58:10.551718+00:00 {"host_mem_used_gb": 5.84, "swap_used_gb": 0.0, "cpu_user_pct": 0.5, "cpu_system_pct": 0.5, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [MEM] 2026-07-07T09:58:11.550436+00:00 {"host_mem_used_gb": 5.84, "swap_used_gb": 0.0, "cpu_user_pct": 0.67, "cpu_system_pct": 0.67, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [MEM] 2026-07-07T09:58:12.551293+00:00 {"host_mem_used_gb": 5.84, "swap_used_gb": 0.0, "cpu_user_pct": 0.08, "cpu_system_pct": 0.08, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [POST] 2026-07-07T09:58:12.843920+00:00 PROGRAM STARTED <<<

>>> [MEM] 2026-07-07T09:58:13.550577+00:00 {"host_mem_used_gb": 5.98, "swap_used_gb": 0.0, "cpu_user_pct": 9.23, "cpu_system_pct": 2.68, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [MEM] 2026-07-07T09:58:14.550142+00:00 {"host_mem_used_gb": 6.05, "swap_used_gb": 0.0, "cpu_user_pct": 12.38, "cpu_system_pct": 1.26, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

>>> [MEM] 2026-07-07T09:58:15.551805+00:00 {"host_mem_used_gb": 6.17, "swap_used_gb": 0.0, "cpu_user_pct": 22.18, "cpu_system_pct": 1.51, "hbm_gb": {}, "hbm_breakdown": {}, "neuroncore_util_pct": {}} <<<

